…,3,3,13,3,3,14,3,3
…,3,3,14,3,3,13,3,3
…,3,3,15,3,3,16,3,3
…,3,3,16,3,3,15,3,3
…,3,4,15,3,4,15,3,4
…,4,4,11,4,4,12,4,4
…,4,4,11,5,4,11,4,4
…,4,4,11,5,4,11,5,4
…,4,4,12,4,4,11,4,4
…,4,4,12,4,4,13,4,4
…,4,4,13,4,4,12,4,4
…,4,4,13,4,4,13,4,4
…,4,4,13,4,4,13,5,4
…,4,4,13,5,4,12,5,4
…,4,4,13,5,4,13,4,4
…,4,4,14,4,4,14,4,4
…,4,4,15,5,4,14,5,4
…,4,4,15,5,4,15,4,4
…,4,5,13,4,5,13,4,5
…,4,5,13,4,5,13,5,5
…,4,5,13,5,5,12,5,5
…,4,5,13,5,5,13,4,5
…,4,5,17,4,5,16,5,5
…,4,5,17,4,5,17,4,5
…,5,4,11,4,4,12,4,4
…,5,4,12,5,4,13,4,4
…,5,4,13,4,4,13,4,4
…,5,4,14,5,4,15,4,4
…,5,4,14,5,4,15,5,4
…,5,4,15,4,4,15,5,4
…,5,4,15,5,4,14,5,4
…,5,5,12,5,5,13,4,5
…,5,5,13,4,5,13,4,5
…,5,6,12,5,6,12,5,6
…,5,6,12,5,6,12,6,6
…,5,6,12,6,6,11,6,6
…,5,6,12,6,6,12,5,6
…,5,6,16,5,6,15,6,6
…,5,6,16,5,6,16,5,6
…,6,6,11,6,6,12,5,6
…,6,6,12,5,6,12,5,6
⋯,4,4,35,4,4,35,4,4
⋯,4,6,31,4,6,31,4,6
⋯,6,6,14,7,6,14,6,6
⋯,6,6,15,6,6,16,6,6
⋯,6,6,15,7,6,15,6,6
⋯,6,6,16,6,6,15,6,6
⋯,6,6,16,6,6,15,7,6
⋯,6,6,16,6,6,16,6,6
⋯,6,7,15,7,7,15,6,7
⋯,6,7,18,6,7,18,6,7
⋯,7,6,13,7,6,14,7,6
⋯,7,6,14,6,6,14,7,6
⋯,7,7,13,8,7,13,7,7
⋯,7,7,14,7,7,15,7,7
⋯,7,7,15,6,7,15,7,7
⋯,7,7,15,7,7,14,7,7
⋯,7,7,17,7,7,17,6,7
⋯,7,7,17,7,7,17,7,7
⋯,7,8,9,7,8,9,7,8
⋯,7,8,12,7,8,13,7,8
⋯,7,8,13,8,8,14,8,8
⋯,7,8,17,7,8,17,7,8
⋯,8,7,12,8,7,13,8,7
⋯,8,7,13,7,7,13,8,7
⋯,8,8,13,7,8,14,8,8
⋯,8,8,16,8,8,16,7,8
⋯,8,8,16,8,8,16,8,8
⋯,8,9,12,9,9,12,9,9
⋯,8,9,12,9,9,13,8,9
⋯,8,9,12,9,9,13,9,9
⋯,8,9,13,9,9,13,9,9
⋯,8,9,16,8,9,16,8,9
⋯,9,9,11,9,9,13,8,9
⋯,9,9,11,9,9,13,9,9
⋯,9,9,12,8,9,13,9,9
⋯,9,9,13,8,9,14,8,9
⋯,9,9,15,9,9,15,9,9
临,3,48,8,4,59,3,36,60
临,4,48,8,3,59,4,36,60
临,5,31,5,5,52,4,28,50
临,5,44,6,5,59,1,38,60
临,5,44,6,5,59,2,37,60
临,5,44,6,5,59,2,37,61
临,5,46,7,6,62,2,41,63
临,5,46,7,6,63,2,41,63
临,6,47,6,7,64,1,42,64
仆,19,62,16,3,61,5,15,20
仆,19,62,16,4,61,4,16,21
仆,22,61,12,5,60,3,16,21
仆,23,61,12,4,60,3,16,20
仆,23,61,12,5,60,3,15,20
仆,23,61,12,5,60,3,16,20
们,16,61,6,12,58,5,16,56
们,19,57,3,13,54,3,17,50
们,19,60,4,13,58,4,17,54
们,19,61,4,13,58,4,17,54
们,20,61,3,13,58,4,17,54
们,20,64,5,14,61,5,18,57
们,20,65,5,14,61,5,18,57
们,21,66,4,15,62,4,19,58
仰,16,59,5,13,51,5,18,56
仰,17,59,4,13,51,6,18,56
仰,19,60,1,15,51,3,18,59
俐,39,63,5,3,36,2,9,60
修,16,61,1,3,35,3,36,63
修,16,61,1,3,35,4,36,63
們,14,49,1,14,41,3,15,51
們,15,65,5,17,62,6,18,62
們,16,59,2,18,58,4,18,58
們,16,61,3,17,58,6,17,59
們,16,61,4,16,58,6,17,59
們,16,65,4,18,62,5,18,62
們,16,67,4,18,64,5,19,63
們,17,59,3,15,54,5,17,54
們,17,60,3,15,54,5,16,54
們,17,67,3,19,64,4,19,63
倒,16,58,1,22,48,3,14,58
倒,16,62,1,23,52,4,14,62
倒,17,62,1,23,52,4,13,62
候,15,63,3,3,36,1,38,60
划,34,59,3,4,36,1,12,61
则,31,56,7,3,37,2,10,62
刚,30,58,7,3,38,2,10,61
刚,30,58,8,3,38,2,10,61
判,31,50,2,3,21,1,11,54
別,25,47,4,4,21,1,12,53
別,31,55,6,5,36,1,12,58
別,33,59,6,4,39,2,9,62
別,33,59,7,3,39,2,10,62
利,29,60,6,3,34,6,9,59
利,32,59,5,4,36,1,14,59
别,23,46,5,4,22,1,10,53
别,30,58,8,3,38,2,10,61
别,30,58,9,3,38,2,10,61
刮,30,59,7,3,36,3,10,61
到,26,44,3,4,21,1,12,55
到,33,55,5,4,38,1,12,62
