!,3,34
!,4,42
!,4,43
!,5,42
!,5,43
!,5,44
!,6,44
$,21,41
$,21,42
$,27,52
$,27,53
%,45,45
%,46,46
',3,11
',4,14
',5,14
',5,15
',6,15
",",3,8
",",3,9
",",3,10
",",4,12
",",4,13
",",5,12
",",5,13
",",5,14
",",6,14
-,11,2
-,14,3
-,15,3
-,16,4
.,3,3
.,4,4
.,4,5
.,5,4
.,5,5
.,5,6
.,6,6
0,21,35
0,27,42
0,27,43
0,28,44
0,29,52
0,30,53
0,33,55
0,35,51
0,36,51
0,36,52
0,37,52
1,10,50
1,11,34
1,11,51
1,14,42
1,14,43
1,14,49
1,15,42
1,15,43
1,15,44
1,15,50
1,16,44
1,25,53
2,21,34
2,26,51
2,27,42
2,27,43
2,27,52
2,28,42
2,28,43
2,28,44
2,29,44
2,31,50
2,32,51
3,20,35
3,21,35
3,27,42
3,27,43
3,27,51
3,27,52
3,28,44
3,28,53
3,30,51
3,30,55
3,31,52
4,22,34
4,29,42
4,29,43
4,29,50
4,30,44
4,30,51
4,34,49
4,35,50
5,20,35
5,21,34
5,27,41
5,27,42
5,27,50
5,27,51
5,28,41
5,28,42
5,28,43
5,28,52
5,29,43
5,29,50
5,30,51
6,21,35
6,27,43
6,27,51
6,27,52
6,28,42
6,28,43
6,28,44
6,29,44
7,20,34
7,21,34
7,26,41
7,27,41
7,27,42
7,27,43
7,27,50
7,28,43
7,28,51
7,30,49
7,31,50
7,34,54
8,21,35
8,27,42
8,27,43
8,27,52
8,28,43
8,28,44
8,28,53
8,29,44
8,34,51
8,35,52
9,27,42
9,27,43
9,27,52
9,28,42
9,28,43
9,28,44
9,28,53
9,29,44
9,32,51
9,33,51
9,33,52
9,34,52
:,3,24
:,4,30
:,4,31
:,5,30
:,5,31
:,5,32
:,6,32
;,4,39
;,5,39
?,20,35
?,26,43
?,26,44
?,27,43
?,27,44
?,27,45
?,28,45
A,29,34
A,30,34
A,30,50
A,31,51
A,38,42
A,38,52
A,39,42
A,39,43
A,39,53
A,40,44
A,46,50
A,47,50
B,24,34
B,25,34
B,28,48
B,29,50
B,30,51
B,31,42
B,31,43
B,32,42
B,32,43
B,32,44
B,32,52
B,33,44
B,33,53
B,35,50
B,36,50
C,28,35
C,28,36
C,28,49
C,31,52
C,32,53
C,36,54
C,37,43
C,37,44
C,37,55
C,38,45
C,38,52
D,26,34
D,27,34
D,29,50
D,30,51
D,35,42
D,35,43
D,36,44
D,38,52
D,39,53
D,41,50
E,24,34
E,31,42
E,31,43
E,32,42
E,32,43
E,32,44
E,33,44
F,21,34
F,28,42
F,28,43
F,29,44
G,30,35
G,30,36
G,39,43
G,39,44
G,40,45
H,25,34
H,27,50
H,28,48
H,28,51
H,32,42
H,32,43
H,33,42
H,33,43
H,33,44
H,34,44
H,34,52
H,35,53
I,2,34
I,3,34
I,3,43
I,3,50
I,3,52
I,4,42
I,4,43
I,4,51
I,4,53
I,5,44
J,14,53
J,15,54
J,17,35
J,22,42
J,22,43
J,23,42
J,23,43
J,23,44
J,24,44
J,27,51
J,28,52
K,26,34
K,28,48
K,29,50
K,30,51
K,33,42
K,34,42
K,34,43
K,34,52
K,35,43
K,35,44
K,35,53
K,36,44
K,38,50
L,20,34
L,25,42
L,25,43
L,26,42
L,26,43
L,27,44
L,27,50
L,28,51
L,29,52
L,30,53
M,29,48
M,30,34
M,30,48
M,31,34
M,31,50
M,32,51
M,40,42
M,40,43
M,41,42
M,41,43
M,41,44
M,42,44
M,42,52
M,43,53
M,52,50
N,25,34
N,28,48
N,33,42
N,33,43
N,34,44
O,30,35
O,30,36
O,31,35
O,31,36
O,31,52
O,40,43
O,40,44
O,41,43
O,41,44
O,41,45
O,42,45
O,43,52
P,24,34
P,25,34
P,28,48
P,32,42
